Posicion,IMFS 5
1,0.2929106313188372
2,0.2933133191447842
3,0.29400952631861615
4,0.2950139325991781
5,0.29634121774531624
6,0.2980060615158773
7,0.30002314366970767
8,0.3024071439656526
9,0.3051663442355794
10,0.3082809216236061
11,0.3117138668641067
12,0.31542340455200657
13,0.31936979509553554
14,0.3235139919971073
15,0.32781694875913875
16,0.33223961888404546
17,0.3367429558742436
18,0.34128791323214913
19,0.34583544446017694
20,0.35034650306074416
21,0.354782042536266
22,0.3591030163891581
23,0.36327037812183693
24,0.36724508123671784
25,0.3709880792362172
26,0.3744603256227508
27,0.37762277389873344
28,0.3804363775665823
29,0.38286209012871314
30,0.38486086508754125
31,0.38639365594548264
32,0.3874214162049532
33,0.3879050993683693
34,0.3878055939214592
35,0.3870835282832064
36,0.3856994658559044
37,0.38361534472528636
38,0.3808011432196386
39,0.37724291149120825
40,0.37294736562207487
41,0.3679257527995691
42,0.3621914366778371
43,0.3557662467782732
44,0.34867412908908685
45,0.3409390295984866
46,0.3325848942946805
47,0.3236356691658778
48,0.3141153002002851
49,0.3040477333861137
50,0.29345691471156876
51,0.2823667901648604
52,0.27080130573419803
53,0.2587844074077885
54,0.24634004117384115
55,0.23349215302056417
56,0.22026468893616613
57,0.20668159490885565
58,0.1927668169268399
59,0.17854430097832943
60,0.1640379930515308
61,0.14927183913465397
62,0.1342695596290247
63,0.11905397258844064
64,0.10364767047981993
65,0.08807324577007888
66,0.0723532909261339
67,0.05651039841490105
68,0.04056716070329769
69,0.024546170258239186
70,0.008470516915641824
71,-0.007633976754619742
72,-0.023738099974512705
73,-0.0398127466934618
74,-0.05583096991185027
75,-0.07176634184462077
76,-0.08759243470671621
77,-0.10328282071307962
78,-0.11881107207865418
79,-0.13415076101838413
80,-0.14927545974721076
81,-0.16415874048007822
82,-0.17877417543192953
83,-0.19309533681770769
84,-0.20709579685235538
85,-0.22074912775081607
86,-0.2340289017280337
87,-0.24690869099895063
88,-0.2593620677785097
89,-0.27136260428165404
90,-0.2828838727233272
91,-0.29389944531847145
92,-0.30438289428203213
93,-0.31430779182895024
94,-0.32364771017416827
95,-0.3323762215326325
96,-0.3404668981192827
97,-0.3478933121490637
98,-0.35462903583691796
99,-0.3606476413977895
100,-0.36592270104662017
101,-0.37042778699835444
102,-0.3741364714679334
103,-0.37702232667030305
104,-0.37905892482040404
105,-0.38021983813318083
106,-0.3804786044070003
107,-0.3798086030548924
108,-0.3781935380759987
109,-0.37565886026575857
110,-0.37224046229844265
111,-0.367974236848323
112,-0.3628960765896744
113,-0.35704187419676636
114,-0.35044752234387305
115,-0.3431489137052647
116,-0.3351819409552156
117,-0.3265824967679975
118,-0.31738647381788154
119,-0.307629764779141
120,-0.29734826232604783
121,-0.286577859132875
122,-0.27535444787389385
123,-0.26371392122337756
124,-0.2516921718555964
125,-0.23932509244482564
126,-0.22664857566533386
127,-0.21369851419139702
128,-0.20051080069728422
129,-0.1871213278572717
