 Year   TSI[W m-2]
191905  1360.7221
192005  1360.5773
192105  1360.4937
192205  1360.4118
192305  1360.4300
192405  1360.4739
192505  1360.6308
192605  1360.7053
192705  1360.9110
192805  1360.7474
192905  1360.7080
193005  1360.7525
193105  1360.6502
193205  1360.5477
193305  1360.4793
193405  1360.5474
193505  1360.7352
193605  1361.1074
193705  1360.9820
193805  1360.9113
193905  1360.9172
194005  1360.8817
194105  1360.8364
194205  1360.7416
194305  1360.5915
194405  1360.6589
194505  1360.8958
194605  1360.8992
194705  1361.1098
194805  1361.2971
194905  1361.1777
195005  1360.9859
195105  1360.7233
195205  1360.7769
195305  1360.6765
195405  1360.6954
195505  1360.8240
195605  1361.1796
195705  1361.6236
195805  1361.5388
195905  1361.2545
196005  1361.2515
196105  1360.9287
196205  1360.7477
196305  1360.6997
196405  1360.7209
196505  1360.7608
196605  1360.9403
196705  1361.0657
196805  1361.1372
196905  1361.2187
197005  1361.2010
197105  1360.9313
197205  1361.0003
197305  1360.8129
197405  1360.7268
197505  1360.6949
197605  1360.6751
197705  1360.8887
197805  1361.2145
197905  1361.5999
198005  1361.6381
198105  1361.6817
198205  1361.2294
198305  1361.2121
198405  1360.7888
198505  1360.6314
198605  1360.6401
198705  1360.7812
198805  1361.1179
198905  1361.6417
199005  1361.5505
199105  1361.5162
199205  1361.3066
199305  1360.9411
199405  1360.7403
199505  1360.7300
199605  1360.6746
199705  1360.8056
199805  1361.1743
199905  1361.4783
200005  1361.6586
200105  1361.5670
200205  1361.6315
200305  1361.0200
200405  1360.9186
200505  1360.7522
200605  1360.6731
200705  1360.5711
200805  1360.5380
200905  1360.5567
201005  1360.8024
201105  1361.0743
201205  1361.2410
201305  1361.3588
201405  1361.3959
201505  1361.4291
201605  1361.0082
