Posicion,IMFS 3
1,0.6599403963161583
2,0.5626029041569967
3,0.45840172414037017
4,0.3492525021426345
5,0.23707088404011922
6,0.12377251570916031
7,0.011273043026105822
8,-0.09851188813271611
9,-0.2036666318909615
10,-0.30233811161980007
11,-0.3931509459855485
12,-0.4757019961224877
13,-0.5497113069988276
14,-0.6144819856980822
15,-0.6692129048325766
16,-0.7131029370146336
17,-0.7453509548565812
18,-0.7651558309707422
19,-0.7720269653569347
20,-0.7665260875977249
21,-0.7487558178286684
22,-0.7185869283547786
23,-0.6758796745152268
24,-0.6204943116491717
25,-0.5522910950957869
26,-0.471352926580975
27,-0.3787387019627028
28,-0.27620534784031464
29,-0.16613019945431975
30,-0.051024342059251604
31,0.06660113909038046
32,0.18423515874005075
33,0.29936663163523125
34,0.40948447252140924
35,0.5116148755275516
36,0.6011599854718144
37,0.6743253401191813
38,0.7289784341594495
39,0.7633455432248012
40,0.7756529429474227
41,0.7641663983627798
42,0.7273096321195102
43,0.6645014141815605
44,0.5792083973429546
45,0.476755397037576
46,0.3626928798812681
47,0.24257131248987243
48,0.12169639028670537
49,0.00408967769466459
50,-0.10796106125599161
51,-0.21354848588002273
52,-0.31203409977086444
53,-0.4027794065219464
54,-0.48514590972669563
55,-0.5584951129785337
56,-0.622188519870899
57,-0.6755876339972138
58,-0.7180539589509144
59,-0.7489489983254247
60,-0.7676342557141707
61,-0.7734856460860182
62,-0.765938174077432
63,-0.7444470323640111
64,-0.7085414847489728
65,-0.6582011397468541
66,-0.5941760985526424
67,-0.5176972041217374
68,-0.43046730632022717
69,-0.33454073183130556
70,-0.23203796857941872
71,-0.12507950448902033
72,-0.015785827484545434
73,0.09372257450953825
74,0.2013252135688079
75,0.3049016017687951
76,0.4023312511850605
77,0.4914936738931596
78,0.5702683819686427
79,0.6365348874870657
80,0.6881727025239657
81,0.7230613391549136
82,0.7390848025588405
83,0.7344558594779745
84,0.7091223712218456
85,0.6652927677093357
86,0.6056629237242162
87,0.5329287140502095
88,0.44978601347110136
89,0.35893069677064
90,0.26305863873258556
91,0.16486571414069756
92,0.06704779777873238
93,-0.02769923556955861
94,-0.11667951112041103
95,-0.19777800077472235
96,-0.27111255139005225
97,-0.33701980938047055
98,-0.39574590937804094
99,-0.44753698601483216
100,-0.4926391739229046
101,-0.5312986077343212
102,-0.5637614220811287
103,-0.5902737515954095
104,-0.6110817309092121
105,-0.6264314946546086
106,-0.6365691774636455
107,-0.641740913968388
108,-0.6422071203053783
109,-0.638267318412323
110,-0.6301341297521017
111,-0.6178857511210278
112,-0.6015712782029609
113,-0.5812398066817468
114,-0.5569404322412221
115,-0.5287222505652356
116,-0.4966343573376401
117,-0.4607258482422812
118,-0.42104581896299376
119,-0.3776433651836348
120,-0.330803700720949
121,-0.2815061213867825
122,-0.22996447898000177
123,-0.17614223476300417
124,-0.12000284999816274
125,-0.06150978594788359
126,-0.0006265038745501827
127,0.06268353495945078
128,0.12845686929171957
129,0.19673003785987392
130,0.26689071358327815
131,0.33573110610833784
132,0.3995066112292828
133,0.4549208326045713
134,0.49878942585871827
135,0.5279280466162518
136,0.5391523505016871
137,0.5292688417082853
138,0.49616884022533775
139,0.4422202006951076
140,0.37091219928094515
141,0.28573411214618594
142,0.190175215454164
143,0.08772478536822159
144,-0.01811271323909497
145,-0.12371020515926473
146,-0.22517800447796307
147,-0.31856456978171926
148,-0.3999183596570467
149,-0.46528783269047425
150,-0.5107214474685291
151,-0.5322676625777341
152,-0.5272544378874021
153,-0.49818610253506224
154,-0.4490799434892282
155,-0.3840116118554544
156,-0.307056758739303
157,-0.22229103524633353
158,-0.1337900924821022
159,-0.04508982405387352
160,0.04237408291120451
161,0.12747040473199472
162,0.20900909421429661
163,0.28613040945511437
164,0.3591367075097788
165,0.4275695064805921
166,0.48899258059021494
167,0.5405150486430259
168,0.5792460294434013
169,0.6022946417957205
170,0.6069868546699388
171,0.5918197922040325
172,0.5567224467243492
173,0.501969720579132
174,0.4280051381814033
175,0.3353143794603855
176,0.22547698622977594
177,0.10457650746505437
178,-0.019695407478286242
179,-0.14062965294860938
180,-0.2559615366052318
181,-0.364537469435227
182,-0.4652038624256529
183,-0.5560481187650836
184,-0.6325042316858214
185,-0.6910548988856852
186,-0.7296717237818142
187,-0.7465951586209185
188,-0.7405086291161187
189,-0.7117657405358503
190,-0.6611985237144624
191,-0.5910103141958614
192,-0.5036170326797963
193,-0.40083323139410093
194,-0.28432312044863306
195,-0.1555753037485887
196,-0.016116707068911384
197,0.1297383632666369
198,0.2769348542459107
199,0.4204177128567785
200,0.5551318860870962
201,0.6760223209247345
202,0.7780339643575516
203,0.8561117633734119
204,0.9052006649601717
205,0.9213791821903914
206,0.9055685116646774
207,0.8610570928253318
208,0.7914417843039132
209,0.7003194447319956
210,0.5912869327411345
211,0.46794110696289365
212,0.3338788260288433
213,0.1926969485705462
214,0.04799233321956192
215,-0.0966591474132209
216,-0.23786152592327714
217,-0.372768531699766
218,-0.4993527422143992
219,-0.6163124260491188
220,-0.7225178234362015
221,-0.8168463120592103
222,-0.8981775256829538
223,-0.9654001223971272
224,-1.0174050163726593
225,-1.0530831217804708
226,-1.071325352791495
227,-1.0709395505887178
228,-1.0503945110779087
